TA,RH,PA,GR,WS
0.462586269,-0.767544386,-0.983306236,0.010414466,-0.668188176
0.29039138,-0.438820368,-0.519301093,-0.02974452,-0.668188176
0.193794248,-0.248635389,0.144250304,-0.02974452,-0.668188176
0.059998219,0.014969837,0.572994262,-0.02974452,-0.668188176
-0.032399038,0.16004117,0.633899945,-0.02974452,-0.668188176
-0.121196402,0.254487235,0.555363669,-0.02974452,-0.668188176
-0.177594728,0.272519084,0.29250756,-0.02974452,-0.668188176
-0.34498976,0.311032393,-0.260451937,-0.02974452,-0.668188176
-0.584382654,0.580149241,-0.768533562,-0.02974452,-0.668188176
-0.511484817,0.642750379,-1.128357931,-0.02974452,-0.668188176
-0.474585913,0.620703891,-1.007347954,-0.02974452,-0.668188176
-0.511784808,0.76441433,-0.638708289,-0.02974452,-0.668188176
-0.398988157,0.470052892,-0.209964331,0.019978728,-0.668188176
-0.094797186,-0.049128284,0.327768745,0.417680736,-0.668188176
0.527084354,-0.730664151,0.595433198,1.395708419,-0.668188176
1.162465494,-1.351572176,0.496862157,2.496912715,-0.668188176
1.210464069,-1.217251909,0.188326785,2.22877749,-0.668188176
0.999270338,-1.309860766,-0.116201633,1.398848923,-0.668188176
1.453756847,-1.69336078,-0.706826488,1.872447844,-0.668188176
1.287561781,-1.590409126,-1.296649951,0.745913787,-0.668188176
1.410858121,-1.609325557,-1.950584661,0.850591656,-0.668188176
1.878544238,-1.961048689,-2.368109151,1.818034833,-0.668188176
1.278562048,-1.572105098,-2.316018764,0.626352113,-0.668188176
0.863074381,-1.403694428,-2.101246089,0.141946163,-0.668188176
0.16979496,-0.632883895,-1.783094031,0.000644475,-0.668188176
-0.213293669,-0.212435601,-1.249367907,-0.02974452,-0.668188176
-0.221093437,-0.128604512,-0.597035979,-0.02974452,-0.668188176
-0.122696358,-0.033137776,-0.151462819,-0.02974452,-0.668188176
-0.126896233,0.282861881,0.072125152,-0.02974452,-0.668188176
-0.160495236,0.600086343,-0.143448913,-0.02974452,-0.668188176
-0.298791131,0.827763959,-0.448778722,-0.02974452,-0.668188176
-0.378588762,0.842257484,-0.874317118,-0.02974452,-0.668188176
-0.356389421,0.780677016,-1.153201038,-0.02974452,-0.668188176
-0.444286812,0.91247963,-1.331911137,-0.02974452,-0.668188176
-0.461686296,0.751553878,-1.296649951,-0.02974452,-0.668188176
-0.639881006,0.547351688,-0.888742148,-0.02974452,-0.668188176
-0.849574782,0.67003631,-0.293308951,-0.000795622,-0.668188176
-0.672880027,0.093901707,0.326967355,0.276790504,-0.668188176
